row_id,text,label
sst5_base_0001,schrader examines crane 's decline with unblinking candor .,good
sst5_base_0002,reno himself can take credit for most of the movie 's success .,good
sst5_base_0003,"a sensitive , moving , brilliantly constructed work .",great
sst5_base_0004,it 's a frankenstein-monster of a film that does n't know what it wants to be .,bad
sst5_base_0005,"she 's all-powerful , a voice for a pop-cyber culture that feeds on her bjorkness .",good
sst5_base_0006,"the 70-year-old godard has become , to judge from in praise of love , the sort of bitter old crank who sits behind his light meter and harangues the supposed injustices of the artistic world-at-large without doing all that much to correct them .",okay
sst5_base_0007,"all right , so it 's not a brilliant piece of filmmaking , but it is a funny -lrb- sometimes hilarious -rrb- comedy with a deft sense of humor about itself , a playful spirit and a game cast .",good
sst5_base_0008,"using an endearing cast , writer\/director dover kosashvili takes a slightly dark look at relationships , both sexual and kindred .",good
sst5_base_0009,a poky and pseudo-serious exercise in sham actor workshops and an affected malaise .,terrible
sst5_base_0010,the movie is about as deep as that sentiment .,bad
sst5_base_0011,pumpkin struts about with `` courage '' pinned to its huckster lapel while a yellow streak a mile wide decorates its back .,okay
sst5_base_0012,"davis is funny , charming and quirky in her feature film acting debut as amy .",good
sst5_base_0013,` snow dogs ' has both .,okay
sst5_base_0014,"it 's a hellish , numbing experience to watch , and it does n't offer any insights that have n't been thoroughly debated in the media already , back in the dahmer heyday of the mid - '90s .",bad
sst5_base_0015,"fessenden has nurtured his metaphors at the expense of his narrative , but he does display an original talent .",good
sst5_base_0016,"as is often the case with ambitious , eager first-time filmmakers , mr. murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold .",bad
sst5_base_0017,"this rush to profits has created a predictably efficient piece of business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen , which , in this day and age , is of course the point .",good
sst5_base_0018,"the gifted crudup has the perfect face to play a handsome blank yearning to find himself , and his cipherlike personality and bad behavior would play fine if the movie knew what to do with him .",bad
sst5_base_0019,"peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the dogtown experience .",great
sst5_base_0020,a forceful drama of an alienated executive who re-invents himself .,good
sst5_base_0021,"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us `` the skulls '' and last year 's `` rollerball . ''",great
sst5_base_0022,"it takes a really long , slow and dreary time to dope out what tuck everlasting is about .",bad
sst5_base_0023,"some fine acting , but ultimately a movie with no reason for being .",bad
sst5_base_0024,"even when it drags , we are forced to reflect that its visual imagination is breathtaking",good
sst5_base_0025,"high crimes knows the mistakes that bad movies make and is determined not to make them , and maybe that is nobility of a sort .",okay
sst5_base_0026,"smart , sassy interpretation of the oscar wilde play .",great
sst5_base_0027,steers refreshingly clear of the usual cliches .,good
sst5_base_0028,"madonna has made herself over so often now , there 's apparently nothing left to work with , sort of like michael jackson 's nose .",terrible
sst5_base_0029,exhilarating but blatantly biased .,good
sst5_base_0030,she boxes these women 's souls right open for us .,good
sst5_base_0031,bland but harmless .,bad
sst5_base_0032,in a word : no. .,okay
sst5_base_0033,viva le resistance !,good
sst5_base_0034,a surprisingly ` solid ' achievement by director malcolm d. lee and writer john ridley .,good
sst5_base_0035,the milieu is wholly unconvincing ... and the histrionics reach a truly annoying pitch .,bad
sst5_base_0036,... a thoughtful what-if for the heart as well as the mind .,great
sst5_base_0037,"quaid is utterly fearless as the tortured husband living a painful lie , and moore wonderfully underplays the long-suffering heroine with an unflappable '50s dignity somewhere between jane wyman and june cleaver .",good
sst5_base_0038,a fascinating glimpse into an insular world that gives the lie to many clichés and showcases a group of dedicated artists .,great
sst5_base_0039,brought to life on the big screen .,good
sst5_base_0040,"it may be a no-brainer , but at least it 's a funny no-brainer .",good
sst5_base_0041,"a compelling yarn , but not quite a ripping one .",good
