row_id,text,label
ag_news_base_0001,"The post-race analysis: Chinese Grand Prix Overall results in China last weekend were disappointing, but Fernandos fourth place finish was an extremely impressive drive in a tricky car.",Sports
ag_news_base_0002,"PeopleSoft fires CEO Conway Board cites ""lack of confidence"" in Craig Conway as software maker battles a hostile takeover.",Tech
ag_news_base_0003,Pistons Coach Brown Returns to Bench (AP) AP - Detroit Pistons coach Larry Brown returned to the bench Wednesday night against the Minnesota Timberwolves after missing two weeks due to hip surgery.,Sports
ag_news_base_0004,Negotiations Seek End to IRA Threat (AP) AP - The British and Irish governments summoned rival Northern Ireland parties to a moat-surrounded castle Thursday in hopes of crafting a new peace deal for the British territory.,World
ag_news_base_0005,"Players fit to drop, warns Rusedski The news that Tim Henman is on the road to recovery from his magnesium deficiency will have come as good news to his followers in Switzerland - and after Roger Federer #39;s last-minute withdrawal",Sports
ag_news_base_0006,"Ichiro gets one more hit as M #39;s play spoiler against Rangers ARLINGTON, Texas - The Texas Rangers might not be in a must-win situation yet, but they #39;re hurting their playoff chances with each loss.",Sports
ag_news_base_0007,"US retail sales up 0.1 per cent in November US retail sales in November were up 0.1 per cent from the previous month, slightly higher than expected. Sales were 7.2 per cent up on the same month last year, according to advance estimates",Business
ag_news_base_0008,Fed Express runs down Paradorn Roger Federer will bid for his 10th title of the season later today (Sunday) when he faces big-serving rival Andy Roddick in the final of the Thailand Open in Bangkok.,Sports
ag_news_base_0009,"Buy Now, Buy Often, but Make a Good Deal Baseball's winter meeting will run through the weekend and could lead to any number of trades and free-agent signings.",Sports
ag_news_base_0010,"Cendant to buy Orbitz for \$1.25B Travel and real estate conglomerate Cendant Corp. said Wednesday it will buy travel Web site Orbitz Inc. for about \$1.25 billion, making it the No.",Business
ag_news_base_0011,"Howe twists in the wind In recent weeks, the question of Art Howe #39;s firing by the Mets has always been more about when the ax would fall, not if, and even the manager seemed resigned to his fate before last night #39;s doubleheader against the Braves at Shea Stadium.",Sports
ag_news_base_0012,Citigroup Takes On Intel The financial services giant takes over non-memory semiconductor chip production.,Business
ag_news_base_0013,Houston vs. Indianapolis INDIANAPOLIS (Ticker) -- David Carr would like to finally get a win against Peyton Manning and the Indianapolis Colts Sunday when the AFC South teams meet for the first time this season.,Sports
